,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
11,12,5,8,オンザライン,牡3,56.0,横山 武史,1:53.8,3/4,12-12-14-14,37.0,444,-10,大和田 成,13
12,13,3,5,レインフロムヘヴン,牡3,56.0,石橋 脩,1:53.8,クビ,15-15-15-14,36.8,456,+2,堀 宣行,6
13,14,4,7,ニシノオイカゼ,牡3,56.0,勝浦 正樹,1:54.1,1 3/4,3-3-6-12,38.3,482,-6,武市 康男,12
14,15,2,3,ヴィゴーレ,牡3,56.0,丸山 元気,1:54.2,1/2,13-13-13-11,37.7,460,-8,松永 幹夫,9
0,1,3,3,ユニコーンライオン,牡5,56.0,坂井 瑠星,2:00.7,,1-1-1-1,34.1,528,-4,矢作 芳人,8
1,2,6,8,ショウナンバルディ,牡5,56.0,池添 謙一,2:01.3,3 1/2,2-2-2-2,34.4,448,+4,松下 武士,9
2,3,1,1,ブラストワンピース,牡6,57.0,岩田 康誠,2:01.4,3/4,8-9-9-8,34.0,548,+2,大竹 正博,5
3,4,4,4,ペルシアンナイト,牡7,57.0,幸 英明,2:01.6,1,8-8-9-8,34.2,492,-6,池江 泰寿,7
4,5,4,5,ワイプティアーズ,牡6,56.0,松若 風馬,2:01.6,ハナ,4-4-4-3,34.5,532,-4,加用 正,12
5,6,8,13,サンレイポケット,牡6,56.0,鮫島 克駿,2:01.7,1/2,8-9-4-8,34.3,472,0,高橋 義忠,1
6,7,5,7,,牡6,56.0,川田 将雅,2:01.7,クビ,4-4-7-6,34.4,494,-12,堀 宣行,3
7,7,7,11,クラージュゲリエ,牡5,56.0,松山 弘平,2:01.7,同着,2-2-2-3,34.6,506,+8,池江 泰寿,4
8,9,5,6,ブラヴァス,牡5,56.0,武 豊,2:01.7,ハナ,4-4-7-5,34.5,492,+4,友道 康夫,6
9,10,2,2,アフリカンゴールド,せん6,56.0,藤岡 康太,2:01.9,3/4,12-12-13-13,34.2,474,+4,西園 正都,11
10,11,6,9,ヒンドゥタイムズ,牡5,56.0,福永 祐一,2:02.0,3/4,11-11-9-11,34.5,474,-4,斉藤 崇史,2
11,12,7,10,ペプチドオーキッド,牡6,56.0,富田 暁,2:02.6,3 1/2,12-13-9-12,35.0,486,-8,武 英智,10
